manual transcription;audio;language;emotion
[non-verbal] I don't know what's happening, I'm sorry.;f_ans001aen.wav;en;fear
It's more like having a presentiment, do you know what I'm saying?;f_ans003aen.wav;en;fear
Don't touch me, better if you don't.;f_ans004aen.wav;en;fear
In Wellfleet, you were there, we were all there.;f_ans005aen.wav;en;fear
Yes, but they were new arrivals. New women were arriving all the time. So the [non-verbal] ...;f_ans007sen.wav;en;fear
I got really scared.;f_ans009ben.wav;en;fear
You're not doing this move just for me, are you? I mean ...;f_ans010aen.wav;en;fear
Please, talk to me, tell me what happened.;f_ans012aen.wav;en;fear
I can't tell you. Someone might get hurt.;f_ans019aen.wav;en;fear
It was once, it's not anymore.;f_ans021aen.wav;en;fear
I'd been sleeping with him, and I was out on the back porch.;f_ans030aen.wav;en;fear
You can't. There's kids.;f_ans032aen.wav;en;fear
All his talk. So much trouble.;f_ans040aen.wav;en;fear
He's been sleeping nights down in the Hooverville.;f_ans041aen.wav;en;fear
My brother didn't have room for both him and us.;f_ans041ben.wav;en;fear
Mike said, you know, if he had to stay down there anyway.;f_ans042aen.wav;en;fear
He was gonna try to get everybody organized.;f_ans042ben.wav;en;fear
Something's wrong Jim, I know it.;f_ans043aen.wav;en;fear
Now I'm here and there's some trouble in Hooverville.;f_ans044aen.wav;en;fear
He wouldn't leave me and the baby for this long.;f_ans044ben.wav;en;fear
I didn't know who else to come to Jim.;f_ans045aen.wav;en;fear
No, but I think that they saw me.;f_ans048aen.wav;en;fear
It didn't mean anything to me at the time.;f_ans049aen.wav;en;fear
But rather I didn't know what it meant.;f_ans050aen.wav;en;fear
But it's impossible.;f_ans901aen.wav;en;fear
Never allow such an aberration, believing in the dead.;f_ans901ben.wav;en;fear
I will only meet you at the end of eternity.;f_ans901cen.wav;en;fear
It wasn't her.;f_ans902aen.wav;en;fear
It was the old woman.;f_ans902ben.wav;en;fear
With strange eyes she was imitating my daughter's voice.;f_ans902cen.wav;en;fear
I'd swear to God that it wasn't my daughter.;f_ans902den.wav;en;fear
Oh God, God help me.;f_ans902een.wav;en;fear
I don't know what's the matter with me.;f_ans902fen.wav;en;fear
They know I'd never hurt them, I [non-verbal] ...;f_ans903aen.wav;en;fear
It's in the hands of some physician I have never even met.;f_ans999aen.wav;en;fear
I mean, of course I'm worried about Ray.;f_ans999ben.wav;en;fear
If anything, he's not good with this stuff. [non-verbal];f_ans999cen.wav;en;fear
Telling me that she's always complaining, that's not picking on her? I think so.;f_dis008aen.wav;en;disgust
I'm saying, Vanessa, that even crazy people like to be asked.;f_dis010aen.wav;en;disgust
Yeah, whoopee.;f_dis016aen.wav;en;disgust
Sweetheart, I do love you, but sometimes I have to wonder if you really are my ...;f_dis024aen.wav;en;disgust
You've always been more like your father.;f_dis025aen.wav;en;disgust
What is it exactly that you want?;f_dis026aen.wav;en;disgust
You can give me the gun or give me back the money.;f_dis027aen.wav;en;disgust
And I'm really hoping for the money.;f_dis027ben.wav;en;disgust
Can I have them?;f_dis028aen.wav;en;disgust
My father is from Puerto Rico. My mother is from El Salvador.;f_dis036aen.wav;en;disgust
Neither one of those is Mexico.;f_dis036ben.wav;en;disgust
I don't know. Isn't she sick?;f_dis037aen.wav;en;disgust
I thought sick people sometimes make things up.;f_dis038aen.wav;en;disgust
A woman you were treating killed her husband.;f_dis039aen.wav;en;disgust
Why are you buying this land, Mr. Bloom?;f_dis042aen.wav;en;disgust
Instead of buying a convertible, you buy a town?;f_dis043aen.wav;en;disgust
That wasn't a question.;f_dis108aen.wav;en;disgust
And you can do anything, right?;f_dis150aen.wav;en;disgust
And before today, you had never heard of me?;f_dis202aen.wav;en;disgust
Has she died or something?;f_dis204aen.wav;en;disgust
One time an assistant left the desk because she sliced her hand open with a letter opener.;f_dis205aen.wav;en;disgust
Oh you'd have saved your heads being chopped off by the Romans, that's true.;f_dis901aen.wav;en;disgust
So you both would have lied to the point of denying Christ?;f_dis902aen.wav;en;disgust
I just want you to come to California with me.;f_gio009aen.wav;en;happiness
Congratulations on your unfettered ascendancy at Wyant Wheeler.;f_gio011aen.wav;en;happiness
Oh thank you Miss Burton, now ...;f_gio012aen.wav;en;happiness
Take that note under consideration.;f_gio012ben.wav;en;happiness
Well that's a big surprise. [non-verbal];f_gio014aen.wav;en;happiness
I'm not a psycho.;f_gio016aen.wav;en;happiness
She didn't call me Emily, isn't that great?;f_gio017aen.wav;en;happiness
It is you.;f_gio030aen.wav;en;happiness
Clearer than that.;f_gio034aen.wav;en;happiness
One night he climbed over the bar and offered to teach me how to make them.;f_gio040aen.wav;en;happiness
This is wonderful.;f_gio045aen.wav;en;happiness
I told them I had to spend the evening with him.;f_gio049aen.wav;en;happiness
Britain's premier equestrian journalist.;f_gio049ben.wav;en;happiness
It's just hot in here, that's all.;f_gio101aen.wav;en;happiness
Oh, I thought you meant the judge! [non-verbal];f_gio120aen.wav;en;happiness
Thanks a lot!;f_gio123aen.wav;en;happiness
Will you relax? I know it's a big deal day.;f_gio125aen.wav;en;happiness
Oh that's all.;f_gio126aen.wav;en;happiness
I thought you might be in the middle of some tempestuous romance.;f_gio133aen.wav;en;happiness
Happy Birthday! [non-verbal];f_gio144aen.wav;en;happiness
No ... [non-verbal] yeah!;f_gio162aen.wav;en;happiness
Do you write about Sister Drummond?;f_gio202aen.wav;en;happiness
Do you write about me?;f_gio203aen.wav;en;happiness
Can I look?;f_gio204aen.wav;en;happiness
It's nice.;f_gio206aen.wav;en;happiness
Is that such a bad thing boss?;f_gio207aen.wav;en;happiness
I gotta agree I am embarrassing myself.;f_gio208aen.wav;en;happiness
Thirty-one until my next birthday.;f_gio209aen.wav;en;happiness
Beautiful.;f_gio210aen.wav;en;happiness
I love London.;f_gio211aen.wav;en;happiness
What's it mean?;f_gio212aen.wav;en;happiness
... wait until he got around to it.;f_gio214aen.wav;en;happiness
I seem to be in some strange sort of mood.;f_gio999ben.wav;en;happiness
Where are you?;f_rab003aen.wav;en;anger
My two little daughters singing stupid fucking songs from those stupid fucking commercials.;f_rab007aen.wav;en;anger
No such obligation!;f_rab008aen.wav;en;anger
Everywhere I am attended by doctors who inform me of my own interests!;f_rab009aen.wav;en;anger
I'm dying in this town.;f_rab010aen.wav;en;anger
The entire British press got up this morning and thought: 'I know where Anna Scott is'.;f_rab012aen.wav;en;anger
She's in that house with the blue door in Notting Hill.;f_rab012ben.wav;en;anger
In your goddamn underwear.;f_rab012cen.wav;en;anger
I come to you to protect myself against more crappy gossip and now I've just landed in it all over again.;f_rab013aen.wav;en;anger
For God's sake, I've got a boyfriend.;f_rab013ben.wav;en;anger
And now tomorrow there'll be pictures of you in every newspapers from here to Timbuktu.;f_rab014aen.wav;en;anger
All right, this is the perfect situation for you, isn't it?;f_rab015aen.wav;en;anger
Minimum input, maximum publicity.;f_rab015ben.wav;en;anger
Everywhere you go people will say: 'Oh well done, you've slept with that actress'.;f_rab015cen.wav;en;anger
We saw the picture.;f_rab015den.wav;en;anger
What is your obsession with this money?;f_rab027aen.wav;en;anger
You're afraid that I won't love you back.;f_rab029aen.wav;en;anger
You realize this is probably the most valuable thing we own.;f_rab037aen.wav;en;anger
I want to know when the hell you're coming home, now!;f_rab042aen.wav;en;anger
You leave her alone!;f_rab064aen.wav;en;anger
Change on the inside!;f_rab068aen.wav;en;anger
Take chances, make mistakes.;f_rab068ben.wav;en;anger
Yes! Sometimes it's important not to be perfect, okay? It's important to do the wrong thing.;f_rab069aen.wav;en;anger
No, to make them.;f_rab070aen.wav;en;anger
To find out what's real and what's not. To find out what you feel.;f_rab070ben.wav;en;anger
No boxing out of the house. All right?;f_rab082aen.wav;en;anger
No boxing. Period!;f_rab082ben.wav;en;anger
You're gonna stay in school.;f_rab083aen.wav;en;anger
And then you're gonna go to college and you're gonna have professions.;f_rab083ben.wav;en;anger
Because you're not gonna have your skulls smashed in too!;f_rab083cen.wav;en;anger
Do you understand me?;f_rab084aen.wav;en;anger
Is that clear?;f_rab084ben.wav;en;anger
