file_name;manual transcription
f_ans001aen;[non-verbal] I don't know what's happening, I'm sorry.
f_ans003aen;It's more like having a presentiment, do you know what I'm saying?
f_ans004aen;Don't touch me, better if you don't.
f_ans005aen;In Wellfleet, you were there, we were all there.
f_ans007sen;Yes, but they were new arrivals. New women were arriving all the time. So the [non-verbal] ...
f_ans009ben;I got really scared.
f_ans010aen;You're not doing this move just for me, are you? I mean ...
f_ans012aen;Please, talk to me, tell me what happened.
f_ans019aen;I can't tell you. Someone might get hurt.
f_ans021aen;It was once, it's not anymore.
f_ans030aen;I'd been sleeping with him, and I was out on the back porch.
f_ans032aen;You can't. There's kids.
f_ans040aen;All his talk. So much trouble.
f_ans041aen;He's been sleeping nights down in the Hooverville.
f_ans041ben;My brother didn't have room for both him and us.
f_ans042aen;Mike said, you know, if he had to stay down there anyway.
f_ans042ben;He was gonna try to get everybody organized.
f_ans043aen;Something's wrong Jim, I know it.
f_ans044aen;Now I'm here and there's some trouble in Hooverville.
f_ans044ben;He wouldn't leave me and the baby for this long.
f_ans045aen;I didn't know who else to come to Jim.
f_ans048aen;No, but I think that they saw me.
f_ans049aen;It didn't mean anything to me at the time.
f_ans050aen;But rather I didn't know what it meant.
f_ans901aen;But it's impossible.
f_ans901ben;Never allow such an aberration, believing in the dead.
f_ans901cen;I will only meet you at the end of eternity.
f_ans902aen;It wasn't her.
f_ans902ben;It was the old woman.
f_ans902cen;With strange eyes she was imitating my daughter's voice.
f_ans902den;I'd swear to God that it wasn't my daughter.
f_ans902een;Oh God, God help me.
f_ans902fen;I don't know what's the matter with me.
f_ans903aen;They know I'd never hurt them, I [non-verbal] ...
f_ans999aen;It's in the hands of some physician I have never even met.
f_ans999ben;I mean, of course I'm worried about Ray.
f_ans999cen;If anything, he's not good with this stuff. [non-verbal]
f_dis008aen;Telling me that she's always complaining, that's not picking on her? I think so.
f_dis010aen;I'm saying, Vanessa, that even crazy people like to be asked.
f_dis016aen;Yeah, whoopee.
f_dis024aen;Sweetheart, I do love you, but sometimes I have to wonder if you really are my ...
f_dis025aen;You've always been more like your father.
f_dis026aen;What is it exactly that you want?
f_dis027aen;You can give me the gun or give me back the money.
f_dis027ben;And I'm really hoping for the money.
f_dis028aen;Can I have them?
f_dis036aen;My father is from Puerto Rico. My mother is from El Salvador.
f_dis036ben;Neither one of those is Mexico.
f_dis037aen;I don't know. Isn't she sick?
f_dis038aen;I thought sick people sometimes make things up.
f_dis039aen;A woman you were treating killed her husband.
f_dis042aen;Why are you buying this land, Mr. Bloom?
f_dis043aen;Instead of buying a convertible, you buy a town?
f_dis108aen;That wasn't a question.
f_dis150aen;And you can do anything, right?
f_dis202aen;And before today, you had never heard of me?
f_dis204aen;Has she died or something?
f_dis205aen;One time an assistant left the desk because she sliced her hand open with a letter opener.
f_dis901aen;Oh you'd have saved your heads being chopped off by the Romans, that's true.
f_dis902aen;So you both would have lied to the point of denying Christ?
f_gio009aen;I just want you to come to California with me.
f_gio011aen;Congratulations on your unfettered ascendancy at Wyant Wheeler.
f_gio012aen;Oh thank you Miss Burton, now ...
f_gio012ben;Take that note under consideration.
f_gio014aen;Well that's a big surprise. [non-verbal]
f_gio016aen;I'm not a psycho.
f_gio017aen;She didn't call me Emily, isn't that great?
f_gio030aen;It is you.
f_gio034aen;Clearer than that.
f_gio040aen;One night he climbed over the bar and offered to teach me how to make them.
f_gio045aen;This is wonderful.
f_gio049aen;I told them I had to spend the evening with him.
f_gio049ben;Britain's premier equestrian journalist.
f_gio101aen;It's just hot in here, that's all.
f_gio120aen;Oh, I thought you meant the judge! [non-verbal]
f_gio123aen;Thanks a lot!
f_gio125aen;Will you relax? I know it's a big deal day.
f_gio126aen;Oh that's all.
f_gio133aen;I thought you might be in the middle of some tempestuous romance.
f_gio144aen;Happy Birthday! [non-verbal]
f_gio162aen;No ... [non-verbal] yeah!
f_gio202aen;Do you write about Sister Drummond?
f_gio203aen;Do you write about me?
f_gio204aen;Can I look?
f_gio206aen;It's nice.
f_gio207aen;Is that such a bad thing boss?
f_gio208aen;I gotta agree I am embarrassing myself.
f_gio209aen;Thirty-one until my next birthday.
f_gio210aen;Beautiful.
f_gio211aen;I love London.
f_gio212aen;What's it mean?
f_gio214aen;... wait until he got around to it.
f_gio999ben;I seem to be in some strange sort of mood.
f_rab003aen;Where are you?
f_rab007aen;My two little daughters singing stupid fucking songs from those stupid fucking commercials.
f_rab008aen;No such obligation!
f_rab009aen;Everywhere I am attended by doctors who inform me of my own interests!
f_rab010aen;I'm dying in this town.
f_rab012aen;The entire British press got up this morning and thought: 'I know where Anna Scott is'.
f_rab012ben;She's in that house with the blue door in Notting Hill.
f_rab012cen;In your goddamn underwear.
f_rab013aen;I come to you to protect myself against more crappy gossip and now I've just landed in it all over again.
