file_name;manual transcription
f_ans001aes;No sé lo que me pasa, lo siento.
f_ans002aes;Lo siento, he sido muy grosera.
f_ans003aes;Es como si tuviera un presentimiento, ¿sabes a qué me refiero?
f_ans004aes;No me toques, por Dios.
f_ans007aes;Sí, pero llegaban otras, llegaban mujeres constantemente así que ...
f_ans009aes;No lo sé. Estaba envolviendo unos ... unos vasos y unas cosas y ...
f_ans009bes;Me ha … me ha entrado mucho miedo.
f_ans010aes;No harás lo de la mudanza solo por mí, ¿verdad? En fin ...
f_ans010bes;Tú... tú deseas realmente hacerlo, ¿no?
f_ans012aes;Por favor, háblame, dime qué ha pasado.
f_ans018aes;No estoy ... no estoy mintiendo. Fuí a pedirle ayuda.
f_ans019aes;No puedo decírtelo. Harían daño a alguien.
f_ans024aes;¿Quién es usted?
f_ans030aes;Yo me había acostado con él y estaba sentada en el porche.
f_ans040aes;Nunca se calla. Se mete en líos.
f_ans041aes;Pasaba todas las noches en Hooverville.
f_ans041bes;Mi hermano no tenía sitio para los dos.
f_ans042aes;Mike dijo que si no había más remedio y tenía que vivir allí. 
f_ans042bes;Intentaría convencer a todos para que se organizaran.
f_ans043aes;Le ha pasado algo a Jim, estoy segura.
f_ans044aes;He oído que ha habido disturbios en Hooverville.
f_ans044bes;No pasaría tanto tiempo sin vernos a mí y a la niña.
f_ans045aes;No sabía a quién acudir, Jim.
f_ans049aes;Porque no creía que hubiese motivo.
f_ans050aes;Era ... y no sabía lo que significaba.
f_ans901aes;Pero es imposible.
f_ans901bes;El señor nunca permitiría semejante aberración.
f_ans901ces;Sólo se reunirán al final de los tiempos.
f_ans902aes;No era ella.
f_ans902bes;Era esa anciana.
f_ans902ces;De ojos extraños estaba imitando la voz de mi hija.
f_ans902des;Le juro por Dios que no era mi hija.
f_ans905aes;La guerra ha acabado.
f_dis008aes;¿Decir que es una quejica para ti no es meterte con ella? Creo que sí. 
f_dis009aes;Vaya, que raro.
f_dis014aes;Genial.
f_dis014bes;En recursos humanos tienen un sentido del humor muy raro.
f_dis016aes;Yay, whoopee.
f_dis017aes;Has tropezado y te has golpeada la cabecita contra la acera.
f_dis019aes; Una sola copia.
f_dis019bes;¿Qué harán mis gemelas con esto?
f_dis019ces;¿Compartirlo?
f_dis020aes;"
¿Hay alguien que tenga algo que yo pueda usar?"
f_dis024aes;Lloyd, cariño, te quiero con toda mi alma ...
f_dis024bes;Pero a veces tengo que preguntarme si realmente eres mi hijo.
f_dis025aes;Siempre has sido más como tu padre.
f_dis027aes;Puede darme la pistola o devolverme el dinero.
f_dis027bes;La verdad es que prefiero recuperar el dinero.
f_dis028aes;¿Me da la caja sí o no?
f_dis029aes;Nos iban a matar en ventura boulevard.
f_dis036aes;Mi padre es de Puerto Rico, mi madre es de El Salvador.
f_dis036bes;Y ningún sitio de esos es México.
f_dis037aes; No lo sé. ¿No está enferma?
f_dis038aes;Creía que los enfermos se inventaban cosas a menudo.
f_dis042aes;¿Por qué compra esta tierra, Sr. Bloom?
f_dis043aes;¿En vez  de comprarse un descapotable, se compra un pueblo? 
f_dis049aes;Estoy a favor de la paz, Sr. Lud. Por eso estoy en la ONU. Para apoyar la diplomacia.
f_dis108aes;No era una pregunta.
f_dis150aes;Y tú puedes hacer lo todo, ¿no?
f_dis201aes;Pero si ya lo hiciste.
f_dis202aes;Y antes de hoy, ¿no habías oído nunca hablar de mí? 
f_dis204aes;¿Se ha muerto, o qué?
f_dis205aes;Una vez un ayudante dejó su mesa porque se rebanó la mano con un abrecartas.
f_dis206aes;Jamás creí que diría esto.
f_dis901aes;Oh, os habríais librado de que los romanos os cortaran la cabeza, claro. 
f_dis902aes;¿Así que los dos habríais mentido hasta el punto de negar a Cristo?
f_gio002aes;Estoy curada.
f_gio012aes;Gracias señorita Burton.
f_gio012bes;Tomaré nota de su consideración.
f_gio019aes;Eso es genial. Perfecto, sí.
f_gio030aes;¡Eres tú!
f_gio034aes;A veces, pero soy más discreta.
f_gio038aes;No, necesito un luchador con un master.
f_gio040aes;Una noche saltó la barra y se ofreció a enseñarme a prepararlos. 
f_gio044aes;Vuelve a la cama tesoro.
f_gio045aes;Eso es estupendo.
f_gio047aes;Al contrario.
f_gio047bes;El otro día emprendimos una exploración a lo más recóndito de África en nuestro jardín.
f_gio049aes;Les he dicho que tenía que pasar la tarde con un periodista ecuestre muy importante.
f_gio120aes;¡Oh, creía que se refería al juez!
f_gio123aes;¡Muchas gracias!
f_gio133aes;Creí que estabas viviendo un tórrido romance.
f_gio144aes;¡Feliz cumpleaños!  [no verbal]
f_gio162aes;No ... [no verbal] ¡sí!
f_gio189aes;[no verbal] caray.
f_gio201aes;Es que aquí hace calor.
f_gio203aes;¿Y sobre mí?
