file_name;manual correction from automatic transcription made with Wav2vec2-large-xlsr-53
f_ans001ait;Non so che cosa mi succede scusami.
f_ans002ait;Scusa è davvero scortese da parte mia.
f_ans004ait;Non toccarmi Dio.
f_ans005ait;Una mattina, a Wellfleet, c'eri tu, eravamo tutti lì.
f_ans009ait;Non lo so, io stavo incartando i bicchieri e qualche  altra cosa.
f_ans009bit;Ho avuto un’angoscia tremenda.
f_ans010bit;Non è che hai fatto questo passo solo per me vero?
f_ans012ait;Ti prego rispondimi, cosa è successo, dimmi.
f_ans018ait;Non stò mentendo, sono andata da lui per un aiuto.
f_ans019ait;Non te lo posso dire, qualcuno potrebbe farsi del male.
f_ans040ait;Chiacchiera troppo e  si caccia nei guai.
f_ans041ait;La notte se ne andava a dormire a Hooverville.
f_ans041bit;Mio fratello non ha posto per tutti e due.
f_ans042ait;Mike ha detto che sai, se doveva stare là
f_ans042bit;Tanto valeva cercare di organizzare la gente.
f_ans043ait;È successo qualcosa Jim, me lo sento.
f_ans044ait;Ho saputo che ci sono stati dei disordini a Hooverville.
f_ans045ait;Non sapevo da chi altro andare Jim.
f_ans048ait;No, ma credo che abbiano visto me.
f_ans100ait;Aspetta, hai sentito?
f_ans101ait;Non poteva arrivarci da sola ma è abbastanza alta.
f_ans102ait;Questo lo sa spiegare?
f_ans103ait;Parlare col comandante.
f_ans104ait;È sufficiate che voi facciate sgombrare i corridoi, così posso controllare.
f_ans105ait;Non restano molti posti da controllare, basta fare evaquare l'aereo allatterraggio.
f_ans106ait;Tesoro non é un buon motivo.
f_ans108ait;L'ho vista per caso passare di qui.
f_ans109ait;L’havuta una brutta esperienza lei.
f_ans109bit;Non è in se in questo momento.
f_ans111bit;Ha chiuso a chiave un sacco di cose mie importanti, documenti e altre cose che devo riavére perciò non lo faccia salire.
f_ans112ait;Allora ci stai con me a ucciderlo.
f_ans114ait;La prego abbia pietà di me. Ho una famiglia.
f_ans115ait;Non capisco. Che vuol dire tenerlo in vita?
f_ans117ait;Non diga sciocchezze morirebbe.
f_ans118ait;Quatto freddo.
f_ans120ait;Io solo continuare a fare la nostra solita vita e dimenticare tuttto
f_ans121ait;Io l’ho già vista.
f_ans122ait;Qui al centro commerciale, a casa nostra.
f_ans122bit;Ma chi!
f_ans125ait;Ma che cosa stai dicendo.
f_ans200ait;Non hanno detto niente, giusto?
f_dis008ait;E perchè, dire che fregna sempre non è criticare? Io credo di sì.
f_dis009ait;Ma guarda che novità.
f_dis010ait;Voglio dire Vanessa, che anche i pazzi gradirebbero essere invitati.
f_dis016ait;Sì un trionfo.
f_dis017ait;Sei caduto e hai battuto la testa sul pavimento.
f_dis020ait;Qualcun’altro ha un'idea che io possa utilizzare?
f_dis024ait;Joid, tesoro caro, io ti voglio tanto bene.
f_dis024bit;Ma a volte mi viene da chiedermi se tu sia veramente mio figlio.
f_dis025ait;Sei sempre stato più simile a tuo padre.
f_dis026ait;Ti dispiacerebbe dirmi cosa vuoi esattamente?
f_dis027ait;Ora lei mi dà la pistola o mi ridà i miei soldi.
f_dis027bit;E io preferirei di gran lunga i miei soldi.
f_dis028ait;Me le da per favore?
f_dis029ait;Oh sì, ci avrebbero sparato in mezzo al boulievard.
f_dis036ait;Mio padre è del Puerto Rico, mia madre è del Salvador.
f_dis036bit;Né l'uno né l'altro è il Messico.
f_dis037ait;Non lo so. Non è malata?
f_dis038ait;I malati a volte inventano le cose se non sbaglio.
f_dis039ait;Una donna che aveva in cura ha ucciso il marito.
f_dis048ait;Una benda per gli occhi.
f_dis106ait;Oh smettila mamma. Ti farai venire una emorragia nasale.
f_dis107ait;Me lo ricordi tutti i santi giorni.
f_dis108ait;Non era una domanda.
f_dis109ait;Qualcuno ha una sigaretta?
f_dis150ait;E tu puoi fare qualsiasi cosa, giusto?
f_dis189ait;Poteva anche salire il tuo amico gli facevo un caffé.
f_dis190ait;Non sarà un novantotto ma sono ancora.
f_dis191ait;In Texas non lo bevono il caffè?
f_dis192ait;Larry, perché non te ne vai adesso.
f_dis219ait;Certo che lo so.
f_gio002ait;Sono guarita.
f_gio011bit;Congratulazioni!
f_gio012ait;Bene, grazie Signor Burton.
f_gio014ait;Sai che sorpresa.
f_gio019ait;Fantastica! È veramente grandiosa. Perfetto.
f_gio030ait;Sei proprio tu!
f_gio034ait;A volte, ma un po' più silenziosamente.
f_gio038ait;No, mi serve un lottatore con una laurea.
f_gio045ait;È meraviglioso.
f_gio047ait;Al contrario.
f_gio100ait;Nessuno mi fa ridelle come te.
f_gio101ait;Ciao papá.
f_gio103ait;Ho ordinato le partecipazioni due settimane fa.
f_gio106ait;Forse dovresti solo, come dire.
f_gio108ait;Tu e mio figlio portate la stessa taglia.
f_gio109ait;Oh, mi scusi io … mi scusi.
f_gio110ait;Ah mio dio Peter, siamo stati bambini in queste stanze.
f_gio111ait;È sempre stato il mio nome preferito.
f_gio112ait;E solo che … [non-verbal]
f_gio113ait;Che splendida idea.
f_gio115ait;Ah questa casa! È questa casa che mi prende.
f_gio115bit;Uno che lavora qui mi sembra un po' strano.
f_gio116ait;Qui c'è qualcosa che mi ricorda la bambina che ero e che non mi ha mai abbandonata.
f_gio116bit;Di quei che parlavano in latino.
f_gio117ait;Non cominciare a vantarmi le meraviglie di quella schifezza. Io ti odiavo allora.
f_gio120ait;Oh, credevo parlarsi del giudice.
f_gio122ait;Avevo ragione.
f_gio123ait;Grazie tante.
f_gio125ait;Avanti, calmati.
f_gio126ait;Sei splendente come un panno illustrato.
f_gio133ait;Credevo che fossi prestato ad un amore tempestoso.
f_gio134ait;Mio Dio guarda, mi sono ricoperta.
f_gio136ait;CioÈ, tutto qua.
f_gio162bit;No! [non-verbal] Sí! 
f_gio189ait;[non-verbal] bene.
f_gio200ait;Stai arteggiando qualcosa.
f_gio203ait;È un fochettone da cucina.
f_gio218ait;Che cosa hai detto.
f_gio219ait;Solo le bimbettine con i boccoli d'oro.
f_gio344ait;Buon compleanno!
f_rab002ait;Bastardo!
f_rab008ait;Un dovere come questo Leonard non esiste.
f_rab009ait;Sono dovunque si prendono cura di me dei dottori che mi comunicano cosa è meglio nel mio interese.
f_rab010ait;Io muoio se resto ancora qui.
f_rab010bit;Dite così. No! questa è la mia!
f_rab012ait;I giornalisti Inglesi stamattina si svegliano e pensano: ‘Io lo so dove si trova Anna Scott’.
f_rab012bit;È in quela casa col portone blue a Notting Hill.
f_rab012cit;E poi te ne vai fori con quelle maledette mutande.
f_rab013bit;Santo Dio. Io ho un fidanzato.
f_rab014ait;E ora da domani ci saranno foto di te su tutti i giornali da qui a Timbuktu.
f_rab015ait;Certo, per te una situazione perfetta, vero?
f_rab015bit;Minimo imput massima pubblicità.
f_rab015cit;Dovunque andrai la gente dirà. Oh, complimenti a te, sei andato a letto con quell'attrice.
f_rab015dit;Abbiamo visto le foto.
f_rab037ait;Ti rendi conto ch’è la cosa più preziosa che possediamo.
f_rab042ait;Io voglio saperlo adesso, quando diavolo vine casa. Adesso!
f_rab064ait;Non provare a toccarla.
f_rab068bit;Corri qualche rischio. Fai qualche errore!
f_rab070bit;Per scoprire cosa è reale e cosa non lo è. Per scoprire quello che tu provi.
f_rab082ait;Niente box fuori casa. Capito.
f_rab082bit;Niente box. Punto e basta.
f_rab083ait;Voi andate a scuola.
f_rab083bit;E andrete all'università e avrete una professione.
f_rab083cit;Perché non vi farete sfondare il craneo anche voi.
f_rab084ait;Avete capito?
f_rab084bit;Sono stata chiara?
f_rab085bit;Fino ad ora.
f_rab087ait;Ma tirati fuori da quell incontro. Rompiti un'altra volta la mano se è necessario.
f_rab089cit;Benché avessi paura io non ho detto niente.
f_rab090ait;Ma io adesso ti dico che il tuo amico lì venderà la nostra chiave a qualche compare.
f_rab090bit;Voglio vedere se questa volta ti comporti come se non te nefregasse un cazzo.
f_rab094ait;Che non se ne sta lì a guardare mentre io vengo amonestata.
f_rab098ait;Non ha proprio senso che stai qui a fare questo tutto il giorno.
f_rab099ait;Il caso è chiuso.
f_rab100ait;I fotografi non ci sono più, i tuoi soci non ci sono più, ora non c'è più neanche la ricerca per il Dentrex.
f_tri001ait;È tutta colpa mia.
f_tri002ait;Havrei potuto fermarlo.
f_tri004bit;Si svegliava.
f_tri005ait;E saltava giù dal latto.
f_tri005bit;Se ne andava in giro.
f_tri006ait;Si svegliava.
f_tri007ait;Ed era confuso.
f_tri007bit;[non-verbal] lo sono.
f_tri008ait;Voglio morire anche io.
f_tri014ait;Io che credevo di essere incinta.
f_tri017ait;Una caramella ce l’ha?
f_tri018ait;Mami ti manda milioni e milioni di baci.
f_tri023ait;Tranne l’unica cosa che volevo.
f_tri027ait;Se mai sono preoccupata per Greg se è una cosa che se lui non c’è la fa.
f_tri032ait;Al fatto che Katy é morta.
f_tri032bit;Ai poveri Anabet e Jimmy ecco.
f_tri033ait;Ho preso Michael ieri sera.
f_tri033bit;E sono andata in un Hotel.
f_tri034ait;Non lo so Jimmy.
f_tri040ait;Mi dispiace davvero.
f_tri040bit;Per le sofferenze terribili che vi ho procurato.
f_tri040cit;Davvero mi dispiace davvero.
f_tri041ait;Tutto mi dispiace.
