transcription;language;emotion;model_transcription
Non so che cosa mi succede scusami.;italian;fear; Non so che cosa mi succede, scusami.
Scusa è davvero scortese da parte mia.;italian;fear; Scusa, è davvero scortese da parte mia.
Non toccarmi Dio.;italian;fear; Non toccarmi, tio!
Una mattina, a Wellfleet, c'eri tu, eravamo tutti lì.;italian;fear; Una mattina. Ah, o un flitto. C'era di tu. Era molto utile.
Non lo so, io stavo incartando i bicchieri e qualche  altra cosa.;italian;fear; Non lo so, io stavo incartando i bicchieri e qualche altra cosa e...
Ho avuto un’angoscia tremenda.;italian;fear; Ovo, nangosci, a tre mei.
Non è che hai fatto questo passo solo per me vero?;italian;fear; Non è che hai fatto questo passo solo per me, è vero?
Ti prego rispondimi, cosa è successo, dimmi.;italian;fear; Ti prego, rispondimi. Cosa è successo? Dimmelo.
Non stò mentendo, sono andata da lui per un aiuto.;italian;fear; Non sto mentendo, sono andata da lui per un aiuto.
Non te lo posso dire, qualcuno potrebbe farsi del male.;italian;fear; Non te lo posso dire, qualcuno potrebbe farsi del male.
Chiacchiera troppo e  si caccia nei guai.;italian;fear; chiacchierà troppo e si cacciano i guai.
La notte se ne andava a dormire a Hooverville.;italian;fear; La notte se ne andava a dormire a Overville
Mio fratello non ha posto per tutti e due.;italian;fear; Mio fratello non ha posto per tutti e due.
Mike ha detto che sai, se doveva stare là;italian;fear; E Mike ha detto che, sai, se doveva stare là...
Tanto valeva cercare di organizzare la gente.;italian;fear; Tanto valeva cercare di organizzare la gente.
È successo qualcosa Jim, me lo sento.;italian;fear; È successo qualcosa, Jim, me lo sento.
Ho saputo che ci sono stati dei disordini a Hooverville.;italian;fear; Ho saputo che ci sono stati dei disordini, Hooverfield.
Non sapevo da chi altro andare Jim.;italian;fear; Non sapevo da chi altro andareci
No, ma credo che abbiano visto me.;italian;fear; No, ma credo che abbiano visto me.
Aspetta, hai sentito?;italian;fear; Aspetta, ha sentito!
Non poteva arrivarci da sola ma è abbastanza alta.;italian;fear; Non poteva arriverci da sola, non è abbastanza alta.
Questo lo sa spiegare?;italian;fear; Questo ve lo sa spiegare!
Parlare col comandante.;italian;fear; Devo parlare col comandante.
È sufficiate che voi facciate sgombrare i corridoi, così posso controllare.;italian;fear; E' sufficiente che voi facciate sgombrare i corridoi così posso controllare.
Non restano molti posti da controllare, basta fare evaquare l'aereo allatterraggio.;italian;fear; Non restano molti posti da controllare, basta fare evacuare l'aereo all'atterraggio.
Tesoro non é un buon motivo.;italian;fear; Tesoro, non è un buon motivo!
L'ho vista per caso passare di qui.;italian;fear; L'ha vista per caso passare di qui o...
L’havuta una brutta esperienza lei.;italian;fear; Ma potrò in un brutto esperienza, lei?
Non è in se in questo momento.;italian;fear; Non è in sé in questo momento.
Ha chiuso a chiave un sacco di cose mie importanti, documenti e altre cose che devo riavére perciò non lo faccia salire.;italian;fear; ha chiusa che aveva un sacco di cose mie importanti, documenti, altre cose che dovrei avere, perciò non lo faccio salire!
Allora ci stai con me a ucciderlo.;italian;fear; Allora ci stai con me a ucciderlo.
La prego abbia pietà di me. Ho una famiglia.;italian;fear; La prego, abbia piacere di me! Ho una famiglia!
Non capisco. Che vuol dire tenerlo in vita?;italian;fear; Non capisco che vuol dire tenerlo in vita.
Non diga sciocchezze morirebbe.;italian;fear; Non dica a questi ragazzi, morirebbe!
Quatto freddo.;italian;fear; Quanto fredda!
Io solo continuare a fare la nostra solita vita e dimenticare tuttto;italian;fear; Lo solo continuare a fare la nostra solita vita è dimenticare tutto.
Io l’ho già vista.;italian;fear; Io l'ho già vista.
Qui al centro commerciale, a casa nostra.;italian;fear; qui al centro commerciale, a casa nostra.
Ma chi!;italian;fear; Macchie!
Ma che cosa stai dicendo.;italian;fear; Ma che cosa stai dicendo, Leroy?
Non hanno detto niente, giusto?;italian;fear; Non hanno detto niente, giusto?
E perchè, dire che fregna sempre non è criticare? Io credo di sì.;italian;disgust; Perché dire che Friña sempre non è criticare, io credo di sì.
Ma guarda che novità.;italian;disgust; Ma guarda che novità!
Voglio dire Vanessa, che anche i pazzi gradirebbero essere invitati.;italian;disgust; Voglio dire Vanessa che anche i pazzi gradirebbero essere invitati.
Sì un trionfo.;italian;disgust; Sì, un triunfo!
Sei caduto e hai battuto la testa sul pavimento.;italian;disgust; Se cadute, hai battuto la testa sul pavimento.
Qualcun’altro ha un'idea che io possa utilizzare?;italian;disgust; Qualcun altro ha un'idea che io possa utilizzare?
Joid, tesoro caro, io ti voglio tanto bene.;italian;disgust; Lloyd, tesoro caro, io ti voglio tanto bene.
Ma a volte mi viene da chiedermi se tu sia veramente mio figlio.;italian;disgust; ma a volte mi viene da chiedermi se tu sia veramente mio figlio.
Sei sempre stato più simile a tuo padre.;italian;disgust; Sei sempre stato più simile a tuo padre.
Ti dispiacerebbe dirmi cosa vuoi esattamente?;italian;disgust; Ti dispiacerebbe dirmi cosa vuoi esattamente?
Ora lei mi dà la pistola o mi ridà i miei soldi.;italian;disgust; Ora lei mi dà la pistola o mi ridà i miei soldi.
E io preferirei di gran lunga i miei soldi.;italian;disgust; e io preferirei di gran lunga i miei sciolti.
Me le da per favore?;italian;disgust; Me le dà per favore?
Oh sì, ci avrebbero sparato in mezzo al boulievard.;italian;disgust; Ah sì, ci avrebbero sparato in mezzo al boulevard!
Mio padre è del Puerto Rico, mia madre è del Salvador.;italian;disgust; Mio padre è del Portorico, mia madre è del Salvador.
Né l'uno né l'altro è il Messico.;italian;disgust; Nell'uno nell'altro è il Messico.
Non lo so. Non è malata?;italian;disgust; Non lo so. Non è malata?
I malati a volte inventano le cose se non sbaglio.;italian;disgust; malati a volte inventano le cose se non sbaglio.
Una donna che aveva in cura ha ucciso il marito.;italian;disgust; Una donna che avevi in cura ha ucciso il marito.
Una benda per gli occhi.;italian;disgust; Una benda per gli occhi.
Oh smettila mamma. Ti farai venire una emorragia nasale.;italian;disgust; Smetti la mamma, ti farei venire un'emorragia a Nazar.
Me lo ricordi tutti i santi giorni.;italian;disgust; me lo ricordi tutti i santi giorni.
Non era una domanda.;italian;disgust; Non era una domanda?
Qualcuno ha una sigaretta?;italian;disgust; Qualcuno ha una sigaretta?
E tu puoi fare qualsiasi cosa, giusto?;italian;disgust; e tu puoi fare qualsiasi cosa, giusto?
Poteva anche salire il tuo amico gli facevo un caffé.;italian;disgust; poteva anche salire il tuo amico e gli faceva un caffè?
Non sarà un novantotto ma sono ancora.;italian;disgust; Non sarà un 98 ma sono ancora qui.
In Texas non lo bevono il caffè?;italian;disgust; In Texas non lo bevono il caffè?
Larry, perché non te ne vai adesso.;italian;disgust; Clark, perché non te ne vai adesso?
Certo che lo so.;italian;disgust; Certo che lo so.
Sono guarita.;italian;happiness; Sono guarita.
Congratulazioni!;italian;happiness; Congratulazioni!
Bene, grazie Signor Burton.;italian;happiness; Bene, grazie signora Bartonio.
Sai che sorpresa.;italian;happiness; Sai che sorpresa!
Fantastica! È veramente grandiosa. Perfetto.;italian;happiness; Fantastico! È veramente grandioso! Perfetto!
Sei proprio tu!;italian;happiness; Sei proprio tu!
A volte, ma un po' più silenziosamente.;italian;happiness; A volte, ma un po' più silenziosamente.
No, mi serve un lottatore con una laurea.;italian;happiness; No, mi serve un lottatore con una laurea.
È meraviglioso.;italian;happiness; È meraviglioso!
Al contrario.;italian;happiness; Al contrario.
Nessuno mi fa ridelle come te.;italian;happiness; Nessuno mi fa ridere come te!
Ciao papá.;italian;happiness; Ciao, papà!
Ho ordinato le partecipazioni due settimane fa.;italian;happiness; Ho ordinato le partecipazioni due settimane fa.
Forse dovresti solo, come dire.;italian;happiness; Forse dovresti solo com'è dire?
Tu e mio figlio portate la stessa taglia.;italian;happiness; Tu e mio figlio portate la stessa taglia!
Oh, mi scusi io … mi scusi.;italian;happiness; No, mi scusi, mi scusi.
Ah mio dio Peter, siamo stati bambini in queste stanze.;italian;happiness; Ah, mio Dio, Peter, siamo stati bambini in queste stanze!
