file_name;transcription;language;emotion;model_transcription
f_ans001ait;Non so che cosa mi succede scusami.;italian;fear; Non so che cosa mi succede, scusami.
f_ans002ait;Scusa è davvero scortese da parte mia.;italian;fear; Scusa, è davvero scortese da parte mia.
f_ans004ait;Non toccarmi Dio.;italian;fear; Non toccarmi, tio!
f_ans005ait;Una mattina, a Wellfleet, c'eri tu, eravamo tutti lì.;italian;fear; Una mattina. Ah, o un flitto. C'era di tu. Era molto utile.
f_ans009ait;Non lo so, io stavo incartando i bicchieri e qualche  altra cosa.;italian;fear; Non lo so, io stavo incartando i bicchieri e qualche altra cosa e...
f_ans009bit;Ho avuto un’angoscia tremenda.;italian;fear; Ovo, nangosci, a tre mei.
f_ans010bit;Non è che hai fatto questo passo solo per me vero?;italian;fear; Non è che hai fatto questo passo solo per me, è vero?
f_ans012ait;Ti prego rispondimi, cosa è successo, dimmi.;italian;fear; Ti prego, rispondimi. Cosa è successo? Dimmelo.
f_ans018ait;Non stò mentendo, sono andata da lui per un aiuto.;italian;fear; Non sto mentendo, sono andata da lui per un aiuto.
f_ans019ait;Non te lo posso dire, qualcuno potrebbe farsi del male.;italian;fear; Non te lo posso dire, qualcuno potrebbe farsi del male.
f_ans040ait;Chiacchiera troppo e  si caccia nei guai.;italian;fear; chiacchierà troppo e si cacciano i guai.
f_ans041ait;La notte se ne andava a dormire a Hooverville.;italian;fear; La notte se ne andava a dormire a Overville
f_ans041bit;Mio fratello non ha posto per tutti e due.;italian;fear; Mio fratello non ha posto per tutti e due.
f_ans042ait;Mike ha detto che sai, se doveva stare là;italian;fear; E Mike ha detto che, sai, se doveva stare là...
f_ans042bit;Tanto valeva cercare di organizzare la gente.;italian;fear; Tanto valeva cercare di organizzare la gente.
f_ans043ait;È successo qualcosa Jim, me lo sento.;italian;fear; È successo qualcosa, Jim, me lo sento.
f_ans044ait;Ho saputo che ci sono stati dei disordini a Hooverville.;italian;fear; Ho saputo che ci sono stati dei disordini, Hooverfield.
f_ans045ait;Non sapevo da chi altro andare Jim.;italian;fear; Non sapevo da chi altro andareci
f_ans048ait;No, ma credo che abbiano visto me.;italian;fear; No, ma credo che abbiano visto me.
f_ans100ait;Aspetta, hai sentito?;italian;fear; Aspetta, ha sentito!
f_ans101ait;Non poteva arrivarci da sola ma è abbastanza alta.;italian;fear; Non poteva arriverci da sola, non è abbastanza alta.
