file_name;transcription;language;emotion;model_transcription;model_emotion
f_ans001aen;[non-verbal] I don't know what's happening, I'm sorry.;english;fear; I don't know what's happening. I'm sorry.;sadness
f_ans003aen;It's more like having a presentiment, do you know what I'm saying?;english;fear; It's more like having a presentiment, do you know what I'm saying?;disgust
f_ans004aen;Don't touch me, better if you don't.;english;fear; Don't touch me better if you don't.;anger
f_ans005aen;In Wellfleet, you were there, we were all there.;english;fear; In well, Fleet, you were there. We were all there.;disgust
f_ans007sen;Yes, but they were new arrivals. New women were arriving all the time. So the [non-verbal] ...;english;fear; Yes, but there were new arrivals, new women were arriving all the time.;sadness
f_ans009ben;I got really scared.;english;fear; I got really scared.;fear
f_ans010aen;You're not doing this move just for me, are you? I mean ...;english;fear; You're not doing this move just for me, are you? I mean...;anger
f_ans012aen;Please, talk to me, tell me what happened.;english;fear; Please, talk to me, tell me what happened.;fear
f_ans019aen;I can't tell you. Someone might get hurt.;english;fear; I can't tell you. Someone might get hurt.;sadness
f_ans021aen;It was once, it's not anymore.;english;fear; It was once. It's not anymore.;sadness
f_ans030aen;I'd been sleeping with him, and I was out on the back porch.;english;fear; I'd been sleeping with him and I was out on the back porch.;disgust
f_ans032aen;You can't. There's kids.;english;fear; You can't. There's kids.;sadness
f_ans040aen;All his talk. So much trouble.;english;fear; All this talk, so much trouble.;sadness
f_ans041aen;He's been sleeping nights down in the Hooverville.;english;fear; He's been sleeping nights down in the Hooverville.;sadness
f_ans041ben;My brother didn't have room for both him and us.;english;fear; My brother didn't have room for both him and us.;sadness
f_ans042aen;Mike said, you know, if he had to stay down there anyway.;english;fear; Mike said, you know, if he had to stay down there anyway.;disgust
f_ans042ben;He was gonna try to get everybody organized.;english;fear; He was gonna try to get everybody organized.;anger
f_ans043aen;Something's wrong Jim, I know it.;english;fear; Something's wrong, Jim. I know it.;sadness
f_ans044aen;Now I'm here and there's some trouble in Hooverville.;english;fear; Now I'm here and there's some trouble in Hooverville.;fear
f_ans044ben;He wouldn't leave me and the baby for this long.;english;fear; He wouldn't leave me and the baby for this long.;anger
f_ans045aen;I didn't know who else to come to Jim.;english;fear; I don't know who else to come to, Jim.;sadness
f_ans048aen;No, but I think that they saw me.;english;fear; No, but I think that they saw me.;happiness
f_ans049aen;It didn't mean anything to me at the time.;english;fear; It didn't mean anything to me at the time.;disgust
f_ans050aen;But rather I didn't know what it meant.;english;fear; Rather, I didn't know what it meant.;anger
f_ans901aen;But it's impossible.;english;fear; But it's impossible.;sadness
f_ans901ben;Never allow such an aberration, believing in the dead.;english;fear; Never allow such an aberration, the living and the dead.;disgust
f_ans901cen;I will only meet you at the end of eternity.;english;fear; They will only meet at the end of eternity.;sadness
f_ans902aen;It wasn't her.;english;fear; It was a doll.;disgust
f_ans902ben;It was the old woman.;english;fear; It was the old woman.;disgust
f_ans902cen;With strange eyes she was imitating my daughter's voice.;english;fear; With strange eyes she was imitating my daughter's voice.;fear
f_ans902den;I'd swear to God that it wasn't my daughter.;english;fear; I swear to God that it wasn't my daughter.;disgust
f_ans902een;Oh God, God help me.;english;fear; Oh God, God help me.;sadness
f_ans902fen;I don't know what's the matter with me.;english;fear; I don't know what's the matter with me.;disgust
f_ans903aen;They know I'd never hurt them, I [non-verbal] ...;english;fear; They know I'd never hurt them.;anger
f_ans999aen;It's in the hands of some physician I have never even met.;english;fear; It's in the hands of some physician I've never even met.;disgust
f_ans999ben;I mean, of course I'm worried about Ray.;english;fear; I mean, of course I'm worried about Ray.;fear
f_ans999cen;If anything, he's not good with this stuff. [non-verbal];english;fear; If anything is not good with this stuff.;anger
f_dis008aen;Telling me that she's always complaining, that's not picking on her? I think so.;english;disgust; telling me that she's always complaining that's not picking on her? I think so.;anger
f_dis010aen;I'm saying, Vanessa, that even crazy people like to be asked.;english;disgust; I'm saying, Vanessa, that even crazy people like to be asked.;disgust
f_dis016aen;Yeah, whoopee.;english;disgust; Yeah, whoopee.;disgust
f_dis024aen;Sweetheart, I do love you, but sometimes I have to wonder if you really are my ...;english;disgust; Sweetheart, I do love you, but sometimes I have to wonder if you really are my;sadness
f_dis025aen;You've always been more like your father.;english;disgust; You've always been more like your father.;happiness
f_dis026aen;What is it exactly that you want?;english;disgust; What is it exactly that you want?;anger
f_dis027aen;You can give me the gun or give me back the money.;english;disgust; You can give me the gun or give me back the money.;anger
f_dis027ben;And I'm really hoping for the money.;english;disgust; and I'm really hoping for the money.;happiness
f_dis028aen;Can I have them?;english;disgust; Can I have them?;sadness
f_dis036aen;My father is from Puerto Rico. My mother is from El Salvador.;english;disgust; My father's from Puerto Rico. My mother's from El Salvador.;sadness
f_dis036ben;Neither one of those is Mexico.;english;disgust; Neither one of those is Mexico.;sadness
f_dis037aen;I don't know. Isn't she sick?;english;disgust; I don't know. Isn't she sick?;disgust
f_dis038aen;I thought sick people sometimes make things up.;english;disgust; I thought sick people sometimes make things up.;disgust
f_dis039aen;A woman you were treating killed her husband.;english;disgust; A woman you were treating killed her husband.;disgust
f_dis042aen;Why are you buying this land, Mr. Bloom?;english;disgust; Why you bond this way, Mr. Blue?;anger
f_dis043aen;Instead of buying a convertible, you buy a town?;english;disgust; Instead of buying a convertible, you buy a town.;anger
f_dis108aen;That wasn't a question.;english;disgust; That was no question.;disgust
f_dis150aen;And you can do anything, right?;english;disgust; And you can do anything, right?;anger
f_dis202aen;And before today, you had never heard of me?;english;disgust; And before today, you had never heard of me.;fear
f_dis204aen;Has she died or something?;english;disgust; Has she died or something?;sadness
f_dis205aen;One time an assistant left the desk because she sliced her hand open with a letter opener.;english;disgust; One time an assistant left the desk because she sliced her hand open with a letter opener.;disgust
f_dis901aen;Oh you'd have saved your heads being chopped off by the Romans, that's true.;english;disgust; Oh, you'd have saved your heads being chopped off by the Romans, that's true.;anger
f_dis902aen;So you both would have lied to the point of denying Christ?;english;disgust; So you both would have lied to the point of denying Christ.;disgust
f_gio009aen;I just want you to come to California with me.;english;happiness; I just want you to come to California with me.;happiness
f_gio011aen;Congratulations on your unfettered ascendancy at Wyant Wheeler.;english;happiness; Congratulations on your unfettered ascendancy at Wyatt Wheeler.;happiness
f_gio012aen;Oh thank you Miss Burton, now ...;english;happiness; Well, thank you, Ms. Burton.;happiness
f_gio012ben;Take that note under consideration.;english;happiness; Take that note under consideration.;anger
f_gio014aen;Well that's a big surprise. [non-verbal];english;happiness; Well, that's a big surprise.;happiness
f_gio016aen;I'm not a psycho.;english;happiness; I'm not a psycho.;sadness
f_gio017aen;She didn't call me Emily, isn't that great?;english;happiness; She didn't call me Emily, which is, isn't that great?;disgust
f_gio030aen;It is you.;english;happiness; It is you!;anger
f_gio034aen;Clearer than that.;english;happiness; Quiet.;sadness
f_gio040aen;One night he climbed over the bar and offered to teach me how to make them.;english;happiness; One night he climbed over the bar and offered to teach me how to make them.;disgust
f_gio045aen;This is wonderful.;english;happiness; That's just wonderful.;happiness
f_gio049aen;I told them I had to spend the evening with him.;english;happiness; I told him I had to spend the evening with...;sadness
f_gio049ben;Britain's premier equestrian journalist.;english;happiness; Britain's premier equestrian journalist.;happiness
f_gio101aen;It's just hot in here, that's all.;english;happiness; It's just hot in here, that's all.;disgust
f_gio120aen;Oh, I thought you meant the judge! [non-verbal];english;happiness; Oh, I thought you meant the judge.;disgust
f_gio123aen;Thanks a lot!;english;happiness; Thanks a lot.;happiness
f_gio125aen;Will you relax? I know it's a big deal day.;english;happiness; Will you relax? I know it's a big deal today.;happiness
f_gio126aen;Oh that's all.;english;happiness; Oh, that's all?;anger
f_gio133aen;I thought you might be in the middle of some tempestuous romance.;english;happiness; I thought you might be in the middle of something, best you as a man.;disgust
f_gio144aen;Happy Birthday! [non-verbal];english;happiness; Happy birthday.;happiness
f_gio162aen;No ... [non-verbal] yeah!;english;happiness; No! Yeah!;anger
f_gio202aen;Do you write about Sister Drummond?;english;happiness; Do you write about Sister Drummond?;disgust
f_gio203aen;Do you write about me?;english;happiness; You're right about me.;anger
f_gio204aen;Can I look?;english;happiness; Good night.;happiness
f_gio206aen;It's nice.;english;happiness; It's nice.;happiness
f_gio207aen;Is that such a bad thing boss?;english;happiness; because they're such a bad thing, Mugs.;disgust
f_gio208aen;I gotta agree I am embarrassing myself.;english;happiness; I gotta agree, I am embarrassing myself.;sadness
f_gio209aen;Thirty-one until my next birthday.;english;happiness; 31 until my next birth.;sadness
f_gio210aen;Beautiful.;english;happiness; Beautiful.;happiness
f_gio211aen;I love London.;english;happiness; I love London.;happiness
f_gio212aen;What's it mean?;english;happiness; What's it mean?;anger
f_gio214aen;... wait until he got around to it.;english;happiness; wait until he got around to it.;sadness
f_gio999ben;I seem to be in some strange sort of mood.;english;happiness; I seem to be in some strange sort of mood.;fear
f_rab003aen;Where are you?;english;anger; WHERE ARE YOU?!;anger
f_rab007aen;My two little daughters singing stupid fucking songs from those stupid fucking commercials.;english;anger; My two little daughters sing those stupid fucking songs from those stupid fucking commercials!;anger
f_rab008aen;No such obligation!;english;anger; No such obligation.;sadness
f_rab009aen;Everywhere I am attended by doctors who inform me of my own interests!;english;anger; Everywhere I am attended by doctors who inform me of my own interests;fear
f_rab010aen;I'm dying in this town.;english;anger; I'm dying in this town!;sadness
f_rab012aen;The entire British press got up this morning and thought: 'I know where Anna Scott is'.;english;anger; The entire British press got up this morning and thought, I know where Anna Scott is.;anger
f_rab012ben;She's in that house with the blue door in Notting Hill.;english;anger; She's in that house with a blue door and knotting hill.;disgust
f_rab012cen;In your goddamn underwear.;english;anger; in your goddamn underwear!;anger
f_rab013aen;I come to you to protect myself against more crappy gossip and now I've just landed in it all over again.;english;anger; I come to you to protect myself against more crappy gossip and now I've just landed it all over again.;anger
f_rab013ben;For God's sake, I've got a boyfriend.;english;anger; For God's sake, I've got a boyfriend!;anger
f_rab014aen;And now tomorrow there'll be pictures of you in every newspapers from here to Timbuktu.;english;anger; And now, tomorrow, there'll be pictures of you in every newspaper from here to Timbuktu!;happiness
f_rab015aen;All right, this is the perfect situation for you, isn't it?;english;anger; Alright, this is the perfect situation for you, isn't it?;happiness
f_rab015ben;Minimum input, maximum publicity.;english;anger; Minimum input, maximum publicity.;anger
f_rab015cen;Everywhere you go people will say: 'Oh well done, you've slept with that actress'.;english;anger; Everywhere you go people say, oh, well done you, you slept with that actress.;disgust
f_rab015den;We saw the picture.;english;anger; We saw the pictures.;happiness
f_rab027aen;What is your obsession with this money?;english;anger; What is your obsession with this money?;anger
f_rab029aen;You're afraid that I won't love you back.;english;anger; You're afraid that I won't love you back.;fear
f_rab037aen;You realize this is probably the most valuable thing we own.;english;anger; You realize that's probably the most valuable thing we own?;happiness
f_rab042aen;I want to know when the hell you're coming home, now!;english;anger; I wanna know when the hell you're coming home! No!;anger
f_rab064aen;You leave her alone!;english;anger; You leave her alone.;anger
f_rab068aen;Change on the inside!;english;anger; Change on the inside.;disgust
f_rab068ben;Take chances, make mistakes.;english;anger; Take chances, make mistakes.;fear
f_rab069aen;Yes! Sometimes it's important not to be perfect, okay? It's important to do the wrong thing.;english;anger; Yes! Sometimes it's important not to be perfect, okay? It's important to do the wrong thing!;anger
f_rab070aen;No, to make them.;english;anger; No, to make them!;anger
f_rab070ben;To find out what's real and what's not. To find out what you feel.;english;anger; to find out what's real and what's not to find out what you feel.;sadness
f_rab082aen;No boxing out of the house. All right?;english;anger; No boxing out of the house, all right?;anger
f_rab082ben;No boxing. Period!;english;anger; No boxing, period!;anger
f_rab083aen;You're gonna stay in school.;english;anger; You're gonna stay in school!;happiness
f_rab083ben;And then you're gonna go to college and you're gonna have professions.;english;anger; And then you're gonna go to college and you're gonna have professions.;disgust
f_rab083cen;Because you're not gonna have your skulls smashed in too!;english;anger; because you're not gonna have your skull smashed in too!;anger
f_rab084aen;Do you understand me?;english;anger; Do you understand me?;anger
f_rab084ben;Is that clear?;english;anger; Is that clear?;anger
f_rab087aen;But you find a way out of that fight. Break your hand again if you have to.;english;anger; But you find a way out of that fight. Break your hand again if you have to.;anger
f_rab089cen;Well I got scared and I didn't say anything. And ten seconds later I had a gun in my face.;english;anger; Well, I got scared and I didn't say anything and 10 seconds later I had a gun in my face!;fear
f_rab090ben;And this time it'd be really fucking great if you acted like you actually gave a shit.;english;anger; And this time it'd be really fucking great if you acted like you actually gave a shit.;disgust
f_rab092aen;Do you have any idea how that felt?;english;anger; Do you have any idea how that felt?;disgust
f_rab092ben;To have that pig's hands all over me.;english;anger; to have that pig's hands all over me.;disgust
f_rab098aen;It doesn't make sense that you are sitting here doing this all day long.;english;anger; It doesn't make sense that you're sitting here doing this all day long.;disgust
f_rab099aen;The case is over.;english;anger; The case is over.;sadness
f_rab102aen;Bullshit John, it is splashed all over you. It's gonna follow you around forever.;english;anger; Bullshit, John, it's splashed all over you. It's gonna follow you around forever.;disgust
f_rab104aen;But that seems hard for you.;english;anger; But that seems hard for you.;sadness
f_tri002aen;I could have stopped him.;english;sadness; I could have stopped it.;sadness
f_tri004aen;I was aware that he would sometimes ...;english;sadness; I was aware that he would sometimes...;disgust
f_tri004ben;Wake up.;english;sadness; Wake up.;sadness
f_tri005aen;Crawl out of bed.;english;sadness; Crawl out of bed.;disgust
