file_name;transcription;language;emotion;model_transcription;model_emotion;model_emotion_nowhisper
f_ans001ait;Non so che cosa mi succede scusami.;italian;fear; Non so che cosa mi succede, scusami.;disgust;disgust
f_ans002ait;Scusa è davvero scortese da parte mia.;italian;fear; Scusa, è davvero scortese da parte mia.;disgust;disgust
f_ans004ait;Non toccarmi Dio.;italian;fear; Non toccarmi, tio!;anger;sadness
f_ans005ait;Una mattina, a Wellfleet, c'eri tu, eravamo tutti lì.;italian;fear; Una mattina. Ah, o un flitto. C'era di tu. Era molto utile.;disgust;fear
f_ans009ait;Non lo so, io stavo incartando i bicchieri e qualche  altra cosa.;italian;fear; Non lo so, io stavo incartando i bicchieri e qualche altra cosa e...;fear;fear
f_ans009bit;Ho avuto un’angoscia tremenda.;italian;fear; Ovo, nangosci, a tre mei.;sadness;fear
f_ans010bit;Non è che hai fatto questo passo solo per me vero?;italian;fear; Non è che hai fatto questo passo solo per me, è vero?;fear;fear
f_ans012ait;Ti prego rispondimi, cosa è successo, dimmi.;italian;fear; Ti prego, rispondimi. Cosa è successo? Dimmelo.;disgust;happiness
f_ans018ait;Non stò mentendo, sono andata da lui per un aiuto.;italian;fear; Non sto mentendo, sono andata da lui per un aiuto.;disgust;disgust
f_ans019ait;Non te lo posso dire, qualcuno potrebbe farsi del male.;italian;fear; Non te lo posso dire, qualcuno potrebbe farsi del male.;fear;fear
f_ans040ait;Chiacchiera troppo e  si caccia nei guai.;italian;fear; chiacchierà troppo e si cacciano i guai.;happiness;happiness
f_ans041ait;La notte se ne andava a dormire a Hooverville.;italian;fear; La notte se ne andava a dormire a Overville;sadness;sadness
f_ans041bit;Mio fratello non ha posto per tutti e due.;italian;fear; Mio fratello non ha posto per tutti e due.;sadness;sadness
f_ans042ait;Mike ha detto che sai, se doveva stare là;italian;fear; E Mike ha detto che, sai, se doveva stare là...;anger;anger
f_ans042bit;Tanto valeva cercare di organizzare la gente.;italian;fear; Tanto valeva cercare di organizzare la gente.;fear;disgust
f_ans043ait;È successo qualcosa Jim, me lo sento.;italian;fear; È successo qualcosa, Jim, me lo sento.;happiness;happiness
f_ans044ait;Ho saputo che ci sono stati dei disordini a Hooverville.;italian;fear; Ho saputo che ci sono stati dei disordini, Hooverfield.;disgust;anger
f_ans045ait;Non sapevo da chi altro andare Jim.;italian;fear; Non sapevo da chi altro andareci;happiness;sadness
f_ans048ait;No, ma credo che abbiano visto me.;italian;fear; No, ma credo che abbiano visto me.;disgust;disgust
f_ans100ait;Aspetta, hai sentito?;italian;fear; Aspetta, ha sentito!;happiness;sadness
f_ans101ait;Non poteva arrivarci da sola ma è abbastanza alta.;italian;fear; Non poteva arriverci da sola, non è abbastanza alta.;fear;fear
f_ans102ait;Questo lo sa spiegare?;italian;fear; Questo ve lo sa spiegare!;happiness;fear
f_ans103ait;Parlare col comandante.;italian;fear; Devo parlare col comandante.;happiness;happiness
f_ans104ait;È sufficiate che voi facciate sgombrare i corridoi, così posso controllare.;italian;fear; E' sufficiente che voi facciate sgombrare i corridoi così posso controllare.;anger;anger
f_ans105ait;Non restano molti posti da controllare, basta fare evaquare l'aereo allatterraggio.;italian;fear; Non restano molti posti da controllare, basta fare evacuare l'aereo all'atterraggio.;fear;anger
f_ans106ait;Tesoro non é un buon motivo.;italian;fear; Tesoro, non è un buon motivo!;anger;anger
f_ans108ait;L'ho vista per caso passare di qui.;italian;fear; L'ha vista per caso passare di qui o...;sadness;fear
f_ans109ait;L’havuta una brutta esperienza lei.;italian;fear; Ma potrò in un brutto esperienza, lei?;disgust;disgust
f_ans109bit;Non è in se in questo momento.;italian;fear; Non è in sé in questo momento.;disgust;fear
f_ans111bit;Ha chiuso a chiave un sacco di cose mie importanti, documenti e altre cose che devo riavére perciò non lo faccia salire.;italian;fear; ha chiusa che aveva un sacco di cose mie importanti, documenti, altre cose che dovrei avere, perciò non lo faccio salire!;anger;fear
f_ans112ait;Allora ci stai con me a ucciderlo.;italian;fear; Allora ci stai con me a ucciderlo.;sadness;sadness
f_ans114ait;La prego abbia pietà di me. Ho una famiglia.;italian;fear; La prego, abbia piacere di me! Ho una famiglia!;happiness;disgust
f_ans115ait;Non capisco. Che vuol dire tenerlo in vita?;italian;fear; Non capisco che vuol dire tenerlo in vita.;fear;fear
f_ans117ait;Non diga sciocchezze morirebbe.;italian;fear; Non dica a questi ragazzi, morirebbe!;anger;disgust
f_ans118ait;Quatto freddo.;italian;fear; Quanto fredda!;happiness;anger
f_ans120ait;Io solo continuare a fare la nostra solita vita e dimenticare tuttto;italian;fear; Lo solo continuare a fare la nostra solita vita è dimenticare tutto.;happiness;happiness
f_ans121ait;Io l’ho già vista.;italian;fear; Io l'ho già vista.;fear;fear
f_ans122ait;Qui al centro commerciale, a casa nostra.;italian;fear; qui al centro commerciale, a casa nostra.;disgust;disgust
f_ans122bit;Ma chi!;italian;fear; Macchie!;happiness;anger
f_ans125ait;Ma che cosa stai dicendo.;italian;fear; Ma che cosa stai dicendo, Leroy?;disgust;disgust
f_ans200ait;Non hanno detto niente, giusto?;italian;fear; Non hanno detto niente, giusto?;disgust;disgust
f_dis008ait;E perchè, dire che fregna sempre non è criticare? Io credo di sì.;italian;disgust; Perché dire che Friña sempre non è criticare, io credo di sì.;fear;fear
