file_name;transcription;language;emotion;model_transcription;model_emotion;model_emotion_nowhisper
f_ans001aes;No sé lo que me pasa, lo siento.;spanish;fear; No, no sé lo que me pasa, lo siento.;disgust;disgust
f_ans002aes;Lo siento, he sido muy grosera.;spanish;fear; Lo siento, he sido muy grosera.;disgust;disgust
f_ans003aes;Es como si tuviera un presentimiento, ¿sabes a qué me refiero?;spanish;fear; Es como si tuviera un presentimiento. ¿Sabes a qué me refiero?;fear;anger
f_ans004aes;No me toques, por Dios.;spanish;fear; No me toques, por Dios.;sadness;sadness
f_ans007aes;Sí, pero llegaban otras, llegaban mujeres constantemente así que ;spanish;fear; Sí, pero llegaban otras. Llegaban mujeres constantemente, así que...;disgust;disgust
f_ans009aes;No lo sé. Estaba envolviendo unos  unos vasos y unas cosas y ;spanish;fear; No lo sé, estaban volviendo unos vasos y unas cosas y...;sadness;fear
f_ans009bes;Me ha … me ha entrado mucho miedo.;spanish;fear; Me ha... me ha entrado mucho miedo.;sadness;sadness
f_ans010aes;No harás lo de la mudanza solo por mí, ¿verdad? En fin ;spanish;fear; No harás lo de la mudanza solo por mí, ¿verdad? En fin...;fear;fear
f_ans010bes;Tú tú deseas realmente hacerlo, ¿no?;spanish;fear; Tú deseas realmente hacerlo, ¿no?;disgust;disgust
f_ans012aes;Por favor, háblame, dime qué ha pasado.;spanish;fear; Por favor, háblame. Dime qué ha pasado.;disgust;disgust
f_ans018aes;No estoy  no estoy mintiendo. Fuí a pedirle ayuda.;spanish;fear; No estoy, no estoy mintiendo, fui a pedirle ayuda.;disgust;fear
f_ans019aes;No puedo decírtelo. Harían daño a alguien.;spanish;fear; No puedo decírtelo, harían daño a alguien.;disgust;disgust
f_ans024aes;¿Quién es usted?;spanish;fear; ¿Quién es usted?;fear;disgust
f_ans030aes;Yo me había acostado con él y estaba sentada en el porche.;spanish;fear; Yo me había acostado con él y estaba sentada en el porche.;disgust;disgust
f_ans040aes;Nunca se calla. Se mete en líos.;spanish;fear; Nunca se calla, se meten líos.;fear;fear
f_ans041aes;Pasaba todas las noches en Hooverville.;spanish;fear; pasaba todas las noches en Hooverby.;fear;fear
f_ans041bes;Mi hermano no tenía sitio para los dos.;spanish;fear; Mi hermano no tenía sitio para los dos.;disgust;disgust
f_ans042aes;Mike dijo que si no había más remedio y tenía que vivir allí. ;spanish;fear; Dijo que si no había más remedio y tenía que vivir allí...;disgust;fear
f_ans042bes;Intentaría convencer a todos para que se organizaran.;spanish;fear; intentaría convencer a todos para que se organizaran.;fear;disgust
f_ans043aes;Le ha pasado algo a Jim, estoy segura.;spanish;fear; Le ha pasado algo, Jim. Estoy segura.;sadness;fear
f_ans044aes;He oído que ha habido disturbios en Hooverville.;spanish;fear; He oído que ha habido disturbios en Hooverville.;fear;fear
f_ans044bes;No pasaría tanto tiempo sin vernos a mí y a la niña.;spanish;fear; No pasaría tanto tiempo sin vernos a mí y a la niña.;fear;disgust
f_ans045aes;No sabía a quién acudir, Jim.;spanish;fear; No sabía quién acudir siempre.;disgust;disgust
f_ans049aes;Porque no creía que hubiese motivo.;spanish;fear; ¿Por qué no creía que hubiese motivo?;anger;disgust
f_ans050aes;Era  y no sabía lo que significaba.;spanish;fear; Era... y no sabía lo que significaba.;disgust;disgust
f_ans901aes;Pero es imposible.;spanish;fear; Pero es imposible.;disgust;disgust
f_ans901bes;El señor nunca permitiría semejante aberración.;spanish;fear; El señor nunca permitiría ese vegano de aberración.;disgust;fear
f_ans901ces;Sólo se reunirán al final de los tiempos.;spanish;fear; Solo se reunirán al final de los tiempos.;sadness;disgust
f_ans902aes;No era ella.;spanish;fear; No era ella.;sadness;disgust
f_ans902bes;Era esa anciana.;spanish;fear; Era esa anciana.;disgust;disgust
f_ans902ces;De ojos extraños estaba imitando la voz de mi hija.;spanish;fear; De ojos extraños se estaba inminando la voz de mi hija.;fear;fear
f_ans902des;Le juro por Dios que no era mi hija.;spanish;fear; le juro por dios que no era mi hija.;disgust;disgust
f_ans905aes;La guerra ha acabado.;spanish;fear; ¡La guerra ha escapado!;anger;disgust
f_dis008aes;¿Decir que es una quejica para ti no es meterte con ella? Creo que sí. ;spanish;disgust; Decir que es una quejica para ti no es meterte con ella, creo que sí.;disgust;fear
f_dis009aes;Vaya, que raro.;spanish;disgust; Mmm, vaya, qué raro.;happiness;happiness
f_dis014aes;Genial.;spanish;disgust; Crenia.;sadness;disgust
f_dis014bes;En recursos humanos tienen un sentido del humor muy raro.;spanish;disgust; En recursos humanos tienen un sentido del humor muy raro.;happiness;happiness
f_dis016aes;Yay, whoopee.;spanish;disgust; Sí, ñope.;disgust;disgust
f_dis017aes;Has tropezado y te has golpeada la cabecita contra la acera.;spanish;disgust; ¿Has tropezado y te has golpeado la cabecita contra la acera?;fear;fear
f_dis019aes; Una sola copia.;spanish;disgust; Una sola copia.;sadness;sadness
f_dis019bes;¿Qué harán mis gemelas con esto?;spanish;disgust; ¿Qué harán mis gemelas con esto?;anger;anger
f_dis019ces;¿Compartirlo?;spanish;disgust; compartirlo.;happiness;anger
f_dis020aes;"
¿Hay alguien que tenga algo que yo pueda usar?";spanish;disgust; ¿Hay alguien que tenga algo que yo pueda usar?;anger;anger
f_dis024aes;Lloyd, cariño, te quiero con toda mi alma ;spanish;disgust; Lloyd, cariño, te quiero con toda mi alma.;happiness;fear
f_dis024bes;Pero a veces tengo que preguntarme si realmente eres mi hijo.;spanish;disgust; Pero a veces tengo que preguntarme si realmente eres mi hijo.;anger;anger
f_dis025aes;Siempre has sido más como tu padre.;spanish;disgust; Siempre has sido más como tu padre.;disgust;disgust
f_dis027aes;Puede darme la pistola o devolverme el dinero.;spanish;disgust; ¿Puede darme la pistola o devolverme el dinero?;anger;disgust
f_dis027bes;La verdad es que prefiero recuperar el dinero.;spanish;disgust; Y la verdad es que prefiero recuperar el dinero.;disgust;disgust
f_dis028aes;¿Me da la caja sí o no?;spanish;disgust; ¿Me da la caja sí o no?;fear;anger
f_dis029aes;Nos iban a matar en ventura boulevard.;spanish;disgust; Nos iban a matar en Ventura Boulevard.;fear;fear
f_dis036aes;Mi padre es de Puerto Rico, mi madre es de El Salvador.;spanish;disgust; Mi padre es de Puerto Rico, mi madre es del Salvador.;sadness;sadness
