file_name;transcription;language;emotion;model_transcription;model_emotion;model_emotion_nowhisper
f_ans001aen;[non-verbal] I don't know what's happening, I'm sorry.;english;negative; I don't know what's happening. I'm sorry.;negative;negative
f_ans003aen;It's more like having a presentiment, do you know what I'm saying?;english;negative; It's more like having a presentiment, do you know what I'm saying?;negative;negative
f_ans004aen;Don't touch me, better if you don't.;english;negative; Don't touch me better if you don't.;negative;negative
f_ans005aen;In Wellfleet, you were there, we were all there.;english;negative; In well, Fleet, you were there. We were all there.;positive;positive
f_ans007sen;Yes, but they were new arrivals. New women were arriving all the time. So the [non-verbal] ...;english;negative; Yes, but there were new arrivals, new women were arriving all the time.;positive;negative
f_ans009ben;I got really scared.;english;negative; I got really scared.;negative;negative
f_ans010aen;You're not doing this move just for me, are you? I mean ...;english;negative; You're not doing this move just for me, are you? I mean...;negative;negative
f_ans012aen;Please, talk to me, tell me what happened.;english;negative; Please, talk to me, tell me what happened.;negative;negative
f_ans019aen;I can't tell you. Someone might get hurt.;english;negative; I can't tell you. Someone might get hurt.;negative;negative
f_ans021aen;It was once, it's not anymore.;english;negative; It was once. It's not anymore.;negative;negative
f_ans030aen;I'd been sleeping with him, and I was out on the back porch.;english;negative; I'd been sleeping with him and I was out on the back porch.;negative;negative
f_ans032aen;You can't. There's kids.;english;negative; You can't. There's kids.;negative;negative
f_ans040aen;All his talk. So much trouble.;english;negative; All this talk, so much trouble.;negative;negative
f_ans041aen;He's been sleeping nights down in the Hooverville.;english;negative; He's been sleeping nights down in the Hooverville.;negative;negative
f_ans041ben;My brother didn't have room for both him and us.;english;negative; My brother didn't have room for both him and us.;negative;negative
f_ans042aen;Mike said, you know, if he had to stay down there anyway.;english;negative; Mike said, you know, if he had to stay down there anyway.;negative;negative
f_ans042ben;He was gonna try to get everybody organized.;english;negative; He was gonna try to get everybody organized.;negative;negative
f_ans043aen;Something's wrong Jim, I know it.;english;negative; Something's wrong, Jim. I know it.;negative;negative
f_ans044aen;Now I'm here and there's some trouble in Hooverville.;english;negative; Now I'm here and there's some trouble in Hooverville.;negative;negative
f_ans044ben;He wouldn't leave me and the baby for this long.;english;negative; He wouldn't leave me and the baby for this long.;negative;negative
f_ans045aen;I didn't know who else to come to Jim.;english;negative; I don't know who else to come to, Jim.;negative;negative
f_ans048aen;No, but I think that they saw me.;english;negative; No, but I think that they saw me.;positive;positive
f_ans049aen;It didn't mean anything to me at the time.;english;negative; It didn't mean anything to me at the time.;negative;negative
f_ans050aen;But rather I didn't know what it meant.;english;negative; Rather, I didn't know what it meant.;negative;negative
f_ans901aen;But it's impossible.;english;negative; But it's impossible.;negative;negative
f_ans901ben;Never allow such an aberration, believing in the dead.;english;negative; Never allow such an aberration, the living and the dead.;negative;negative
f_ans901cen;I will only meet you at the end of eternity.;english;negative; They will only meet at the end of eternity.;positive;positive
f_ans902aen;It wasn't her.;english;negative; It was a doll.;positive;negative
f_ans902ben;It was the old woman.;english;negative; It was the old woman.;negative;negative
