file_name;transcription;language;emotion;model_transcription;model_emotion;model_emotion_nowhisper
f_ans001aes;No sé lo que me pasa, lo siento.;spanish;negative; No, no sé lo que me pasa, lo siento.;negative;negative
f_ans002aes;Lo siento, he sido muy grosera.;spanish;negative; Lo siento, he sido muy grosera.;negative;negative
f_ans003aes;Es como si tuviera un presentimiento, ¿sabes a qué me refiero?;spanish;negative; Es como si tuviera un presentimiento. ¿Sabes a qué me refiero?;negative;negative
f_ans004aes;No me toques, por Dios.;spanish;negative; No me toques, por Dios.;negative;negative
f_ans007aes;Sí, pero llegaban otras, llegaban mujeres constantemente así que ;spanish;negative; Sí, pero llegaban otras. Llegaban mujeres constantemente, así que...;negative;negative
f_ans009aes;No lo sé. Estaba envolviendo unos  unos vasos y unas cosas y ;spanish;negative; No lo sé, estaban volviendo unos vasos y unas cosas y...;negative;negative
f_ans009bes;Me ha … me ha entrado mucho miedo.;spanish;negative; Me ha... me ha entrado mucho miedo.;negative;negative
f_ans010aes;No harás lo de la mudanza solo por mí, ¿verdad? En fin ;spanish;negative; No harás lo de la mudanza solo por mí, ¿verdad? En fin...;negative;negative
f_ans010bes;Tú tú deseas realmente hacerlo, ¿no?;spanish;negative; Tú deseas realmente hacerlo, ¿no?;negative;negative
f_ans012aes;Por favor, háblame, dime qué ha pasado.;spanish;negative; Por favor, háblame. Dime qué ha pasado.;negative;negative
f_ans018aes;No estoy  no estoy mintiendo. Fuí a pedirle ayuda.;spanish;negative; No estoy, no estoy mintiendo, fui a pedirle ayuda.;negative;negative
f_ans019aes;No puedo decírtelo. Harían daño a alguien.;spanish;negative; No puedo decírtelo, harían daño a alguien.;negative;negative
f_ans024aes;¿Quién es usted?;spanish;negative; ¿Quién es usted?;negative;negative
f_ans030aes;Yo me había acostado con él y estaba sentada en el porche.;spanish;negative; Yo me había acostado con él y estaba sentada en el porche.;negative;negative
f_ans040aes;Nunca se calla. Se mete en líos.;spanish;negative; Nunca se calla, se meten líos.;negative;negative
f_ans041aes;Pasaba todas las noches en Hooverville.;spanish;negative; pasaba todas las noches en Hooverby.;positive;positive
f_ans041bes;Mi hermano no tenía sitio para los dos.;spanish;negative; Mi hermano no tenía sitio para los dos.;negative;negative
f_ans042aes;Mike dijo que si no había más remedio y tenía que vivir allí. ;spanish;negative; Dijo que si no había más remedio y tenía que vivir allí...;negative;negative
f_ans042bes;Intentaría convencer a todos para que se organizaran.;spanish;negative; intentaría convencer a todos para que se organizaran.;negative;negative
f_ans043aes;Le ha pasado algo a Jim, estoy segura.;spanish;negative; Le ha pasado algo, Jim. Estoy segura.;positive;negative
f_ans044aes;He oído que ha habido disturbios en Hooverville.;spanish;negative; He oído que ha habido disturbios en Hooverville.;negative;negative
