transcription;language;emotion;model_transcription
[non-verbal] I don't know what's happening, I'm sorry.;en;sadness;i don't know what's happening i'm sorry
It's more like having a presentiment, do you know what I'm saying?;en;neutral;it's more like having a presentiment do you know at i'm saying
Don't touch me, better if you don't.;en;neutral;don't touch me better if you don't
In Wellfleet, you were there, we were all there.;en;neutral;in wellfleet you ere there we wre all there
Yes, but they were new arrivals. New women were arriving all the time. So the [non-verbal] ...;en;surprise;there were new arrivals new women were arriving all the time so
I got really scared.;en;fear;i' really scared
You're not doing this move just for me, are you? I mean ...;en;neutral;you're not doing this mol its jus from me are you in
Please, talk to me, tell me what happened.;en;neutral;please talk to me tell me what happened
I can't tell you. Someone might get hurt.;en;sadness;i can't tell youce some one might get hurt
It was once, it's not anymore.;en;neutral;it was once t's not any more
I'd been sleeping with him, and I was out on the back porch.;en;sadness;ih'd been sleeping with him and i was out on the begrd
You can't. There's kids.;en;sadness;yoe can't there's kids
All his talk. So much trouble.;en;fear;while his talk so much trouble
He's been sleeping nights down in the Hooverville.;en;neutral;he's been asleep at nights down in the huvaville
My brother didn't have room for both him and us.;en;sadness;my brother didn't have room for both him and us
Mike said, you know, if he had to stay down there anyway.;en;neutral;mike said you know if he had to stay down there anyway
He was gonna try to get everybody organized.;en;neutral;he was gonta try to get everybody organise
Something's wrong Jim, I know it.;en;sadness;something is wrong jim i know it
Now I'm here and there's some trouble in Hooverville.;en;sadness;net im here and there's some trouble in hoverville
He wouldn't leave me and the baby for this long.;en;anger;he wouldn't leave me ihebaby for this log
I didn't know who else to come to Jim.;en;surprise;ided now who wass to come to jam
No, but I think that they saw me.;en;surprise;no but i think that they saw me
It didn't mean anything to me at the time.;en;neutral;it didn't mean anything to me at the time
But rather I didn't know what it meant.;en;surprise;r i didn't know what it meant
But it's impossible.;en;neutral;but it's in battemal
Never allow such an aberration, believing in the dead.;en;neutral;never allows such an aberation bliving in the dead
I will only meet you at the end of eternity.;en;neutral;they will only meet at the end of eternity
It wasn't her.;en;neutral;it was atall
It was the old woman.;en;neutral;it was the old woman
With strange eyes she was imitating my daughter's voice.;en;surprise;with strange eyes she was imitating my daughter's voice
I'd swear to God that it wasn't my daughter.;en;joy;i sweared god an was my daughter
Oh God, God help me.;en;neutral;ho cod gotelt me
I don't know what's the matter with me.;en;sadness;i junno what's the matter with me
They know I'd never hurt them, I [non-verbal] ...;en;neutral;they know i'd never hurt them
It's in the hands of some physician I have never even met.;en;neutral;it's in the hands of some physician nit never even met
I mean, of course I'm worried about Ray.;en;fear;i mean the cros an worried about ray
If anything, he's not good with this stuff. [non-verbal];en;sadness;anything is not good with his stuff
Telling me that she's always complaining, that's not picking on her? I think so.;en;neutral;telli me that she's always complaining it's not picking on hor i think so
I'm saying, Vanessa, that even crazy people like to be asked.;en;surprise;i'm saying venessa that even crazyer people like to be asked
Yeah, whoopee.;en;surprise;yeah whop he
Sweetheart, I do love you, but sometimes I have to wonder if you really are my ...;en;surprise;sweetheart i do love you but sometimes i have to wonder if you really are myne
You've always been more like your father.;en;neutral;you have always been more like your father
What is it exactly that you want?;en;neutral;what is it exactly that you want
You can give me the gun or give me back the money.;en;neutral;you can give me the gun or give me back the money
And I'm really hoping for the money.;en;joy;and i'm really hoping for the money
Can I have them?;en;neutral;can i have them
My father is from Puerto Rico. My mother is from El Salvador.;en;neutral;my father's from puerto rico my mothers from alsalvador
Neither one of those is Mexico.;en;neutral;neither one of use is mexico
I don't know. Isn't she sick?;en;sadness;i don't know isn't she sick
I thought sick people sometimes make things up.;en;sadness;i thought sick people sometimes make things up
A woman you were treating killed her husband.;en;anger;a woman you are treating killed her husband
Why are you buying this land, Mr. Bloom?;en;surprise;why you barnd this wayer mr blue
Instead of buying a convertible, you buy a town?;en;sadness;instead of buying a convertible btown
That wasn't a question.;en;neutral;that was no question
And you can do anything, right?;en;neutral;and you can do anything right
And before today, you had never heard of me?;en;surprise;and before today you had never heard of me
Has she died or something?;en;sadness;has she died or something
One time an assistant left the desk because she sliced her hand open with a letter opener.;en;surprise;one time an assistant left the desk because usu sliced are hand opened with a letter ropener
Oh you'd have saved your heads being chopped off by the Romans, that's true.;en;surprise;oh you'd have saved your heads being chopped off by the romans that's true
So you both would have lied to the point of denying Christ?;en;neutral;so you both would have lied to the point of denying christ
I just want you to come to California with me.;en;joy;i' just sow my to come to california with me
Congratulations on your unfettered ascendancy at Wyant Wheeler.;en;neutral;congratulations on your unfettered ascendancy wasn't whealer
Oh thank you Miss Burton, now ...;en;joy;i thank you mis burtan now
Take that note under consideration.;en;neutral;take that note under consideration
Well that's a big surprise. [non-verbal];en;surprise;w that to bek surprised
I'm not a psycho.;en;sadness;i'm not a seco
She didn't call me Emily, isn't that great?;en;sadness;she didn't call me emily which as isntect grean
It is you.;en;joy;he sees you
Clearer than that.;en;neutral;qrit abet
One night he climbed over the bar and offered to teach me how to make them.;en;fear;one night he climbed over the bar and offered to teach me how to make them
This is wonderful.;en;joy;ithat's just wonderful
I told them I had to spend the evening with him.;en;joy;i told him i had to spend the evening with
Britain's premier equestrian journalist.;en;joy;britain's premier equestrian journalist
It's just hot in here, that's all.;en;neutral;its just hot in me ear that's all
Oh, I thought you meant the judge! [non-verbal];en;surprise;oh i thought you meant that tigt
Thanks a lot!;en;surprise;theck's a lot
Will you relax? I know it's a big deal day.;en;sadness;wil he relax i o wat's a big deal aday
Oh that's all.;en;surprise;oh that's all
I thought you might be in the middle of some tempestuous romance.;en;joy;i tougt yhu might beee some compestuous remarke
Happy Birthday! [non-verbal];en;joy;happy birthday
No ... [non-verbal] yeah!;en;neutral;noi will quint e er
Do you write about Sister Drummond?;en;neutral;you write about sr dremond
Do you write about me?;en;anger;o rit about me
Can I look?;en;neutral;shamight now
It's nice.;en;neutral;i's nit
Is that such a bad thing boss?;en;sadness;hos thay's such a bad thing mox
I gotta agree I am embarrassing myself.;en;joy;i cotta agreed i an rehearsing myself
Thirty-one until my next birthday.;en;neutral;he ron two o mine xbert
Beautiful.;en;joy;beautiful
I love London.;en;joy;i love bandon
What's it mean?;en;neutral;what's it meane
... wait until he got around to it.;en;neutral;wait untill i got amhound too
I seem to be in some strange sort of mood.;en;fear;i seem to be in some strange sort of mood
Where are you?;en;neutral;wherer ar ow
My two little daughters singing stupid fucking songs from those stupid fucking commercials.;en;anger;my two little daughters single stupid bucking songs from those stupid bucking commercials
No such obligation!;en;neutral;no such obligation
Everywhere I am attended by doctors who inform me of my own interests!;en;fear;everywhere i am attended by doctors who inform me of my own interest
I'm dying in this town.;en;sadness;hi am dying in this town
The entire British press got up this morning and thought: 'I know where Anna Scott is'.;en;surprise;the entire british press got up this morning and thought i know where anna scott is
She's in that house with the blue door in Notting Hill.;en;surprise;she is in that house with a blue door and knotting hill
In your goddamn underwear.;en;neutral;the ner got tam underware
I come to you to protect myself against more crappy gossip and now I've just landed in it all over again.;en;surprise;i come to you to protect myself againcst more craby gossip and now i've just landed an all over acadomy
For God's sake, I've got a boyfriend.;en;surprise;for god's sake i've got a boyfriend
And now tomorrow there'll be pictures of you in every newspapers from here to Timbuktu.;en;neutral;and now tomorrow terel be pictures of you when every newspaper from youre timb up too
All right, this is the perfect situation for you, isn't it?;en;neutral;all right this is a perrentag ree wis
Minimum input, maximum publicity.;en;neutral;minimum input maximum publist
Everywhere you go people will say: 'Oh well done, you've slept with that actress'.;en;joy;everywhere yougo pele say oh well done slep with that actress
We saw the picture.;en;neutral;we saw the picture
What is your obsession with this money?;en;surprise;what is your obsession with this money
You're afraid that I won't love you back.;en;fear;u're afraid that i won't love you back
You realize this is probably the most valuable thing we own.;en;neutral;remais tat's proberly most valuable thing we ow
I want to know when the hell you're coming home, now!;en;neutral;i wanto know winmen he the antretta of das
You leave her alone!;en;anger;you'leave her alone
Change on the inside!;en;neutral;change on the inside
Take chances, make mistakes.;en;fear;take chances make a mistake
Yes! Sometimes it's important not to be perfect, okay? It's important to do the wrong thing.;en;sadness;yes sometimes it's important not to be perfectit's important tdo the wrong thing
No, to make them.;en;sadness;no to make them
To find out what's real and what's not. To find out what you feel.;en;sadness;to find out what's real and woat's not to find out what you feel
No boxing out of the house. All right?;en;neutral;now wak em out of the house
No boxing. Period!;en;neutral;no box and period
You're gonna stay in school.;en;sadness;yo've got to staying skore
And then you're gonna go to college and you're gonna have professions.;en;neutral;an mat youe gotta go to college and you get ot professions
Because you're not gonna have your skulls smashed in too!;en;surprise;because youre now got have you skols mastin too
Do you understand me?;en;sadness;you antest santy
Is that clear?;en;neutral;is that clear
But you find a way out of that fight. Break your hand again if you have to.;en;neutral;but you'll find a way out of that fight break your hand again if you have to
Well I got scared and I didn't say anything. And ten seconds later I had a gun in my face.;en;fear;wi got scared an i didn't say anything ten seconds later i had a gun in my pey
And this time it'd be really fucking great if you acted like you actually gave a shit.;en;anger;an this time it breally grt if you acted like you actually gave a shit
Do you have any idea how that felt?;en;surprise;youve had any idea how that felt
To have that pig's hands all over me.;en;anger;they have their pig's hands all over me
It doesn't make sense that you are sitting here doing this all day long.;en;neutral;it doesn't make spens suture sittingher doing this all day long
The case is over.;en;neutral;the case is over
Bullshit John, it is splashed all over you. It's gonna follow you around forever.;en;surprise;olship john it is splashed all over you it's gonda follow you around forever
But that seems hard for you.;en;sadness;ut that seems hard for you
I could have stopped him.;en;sadness;i could have stopped it
I was aware that he would sometimes ...;en;surprise;i was aware that he would sometimes
Wake up.;en;neutral;whik up
Crawl out of bed.;en;neutral;crollout is that
And walk about.;en;neutral;can woka par
He could open the baby gate.;en;neutral;open the baby gate
Will this just go on and on?;en;neutral;just go on tenol
Those things.;en;disgust;those thicks
Briony, there isn't much time.;en;neutral;growny there isn't much time
Robbie has to report for duty at six.;en;neutral;my behasto reportfor duety it six
And he's got a train to catch.;en;neutral;he's got a train to catch
I'm very, very sorry.;en;sadness;i'm very very sorry
For the terrible distress that I've caused.;en;fear;is it terrible distress that i have  cauled
I'm very, very sorry.;en;sadness;iam very very sory
He said that if you said that ...;en;neutral;he said that he said that
He has commitment papers for me to sign.;en;neutral;he has commitment papers for me to sign
Would you have hurt me, John?;en;anger;wit you've hurt me john
But my, my girls, I just ...;en;neutral;whte white girlsain just
It's great here, it's really great. [non-verbal];en;joy;it's great hare it's really great on
I don't know, I went to this shrine today.;en;surprise;idon't now i went to this shrine today
There were these monks and they were chanting.;en;surprise;there were thesen monks and they were e chanting
And ... I didn't feel anything.;en;sadness;and i didn't feel anything
Nothing, it's okay. I'll call you later, okay?;en;joy;i'll call you later ok
Do I make her proud?;en;neutral;to ei make
Jim, you didn't see.;en;neutral;champuntin cee
You weren't here.;en;neutral;he wont heate
You would take me there with you.;en;neutral;you would take me a night with you
I only wish I were part of it.;en;sadness;i only wish i were part of it
Then we must end this.;en;neutral;thewe must had this
Without that family, you could never have written anything like this.;en;surprise;without that famly you could never have written anything like this
You need them.;en;neutral;yo need the
It just bled like hell.;en;anger;its just qoite like hella
This guy tried to mug me and I swung on him and he sliced me.;en;neutral;ask tried to mog me in on onaming slice me
So I'm walking to my car.;en;fear;walk in my car
I say I don't smoke. He says neither does he.;en;neutral;saaron smoke he says needed is heat
My heart starts clocking a buck fifty because there is no one around but me and him.;en;sadness;my heart's that' clack in abug fifty ecause he's no hon around but me in him
The mugger! I see how your mind's working.;en;surprise;the the market i sen a your minds were
I come home with blood on me the same night Katie's murdered.;en;sadness;i come home with blood on me the same night katie's marted
I must have killed her, right?;en;anger;i muste kill her right
I can't trust my mind anymore, Celeste. I'm warning you.;en;neutral;ers my mind any mos over onin mew
I don't know.;en;neutral;the han i to
My name is Very Fucking Confused. What's your name?;en;neutral;my name is very confused what's your name
What's going on here?;en;surprise;what's going on here
I went to bed in my shithole apartment and woke up in an actual shithole.;en;surprise;teben in my shethall apartment i woke up in an actual shikhall
This is what they do man. They kidnap you and drug you.;en;anger;his is what they do men tha kidnap you and drug you
Before you know it, you're lying in a bathtub and your kidneys are on eBay.;en;sadness;for you know what you're lying in a badtub and your kidneyes aroun ye be
I'm not gonna risk breaking it. You throw me your tape!;en;fear;i'm not gon na risk of breaking it you throw me your tape
Probably a joke, right?;en;neutral;probably jokery
Who is that?!;en;surprise;who is that
Who's in there?!;en;surprise;h wist in there
Come out!;en;neutral;cowe me out
I'll kill you, you motherfucker!;en;anger;kill you moesbacker
Who is this?;en;surprise;who is this
Yeah baby, it's me. I'm here.;en;joy;yhey her baby hits meei'm
With all due respect, this is preposterous! It doesn't make any sense!;en;disgust;withotrectis preposterous it doesn't make any sense
What is that smell?;en;neutral;what is that smelle
I need you!;en;sadness;i need tou
Lawrence, get up!;en;neutral;words be et up
Thank God! I thought you were dead!;en;surprise;thank god i thought she would dehid
I told you. The same thing happened to me, see?;en;surprise;i told you something happened to me se
I wasn't lying, see?;en;sadness;i wasnt lying seat
Help! Someone help me!;en;surprise;com do' we khow the
Probably dead.;en;neutral;the head
Who's that?;en;neutral;ho's that
Who's that?;en;neutral;do that
Lawrence, get up!;en;neutral;warts get up
You know it's like saying: 'It's not a riot, it's rage. It's not crime, it's poverty.';en;anger;you know it's like saying it's not a riot it's rage it's not crime its poverty
